xmlns,id,name,market,alias,team__full__name,founded,reference,venue__name,venue__capacity,venue__city,venue__state,venue__state__name,venue__country,hierarchy__|,hierarchy__|__id,hierarchy__|__name,hierarchy__|__alias,coaches__coach__id,coaches__coach__full_name,coaches__coach__first_name,coaches__coach__last_name,coaches__coach__position,coaches__coach__experience,coaches__coach__reference,players__player__id,players__player__status,players__player__full_name,players__player__first_name,players__player__last_name,players__player__abbr_name,players__player__height,players__player__weight,players__player__position,players__player__primary_position,players__player__jersey_number,players__player__experience,players__player__college,players__player__birth_place,players__player__birth_state,players__player__birth_state_code,players__player__birth_country,players__player__birth_country_code,players__player__birthdate,players__player__age,players__player__draft__year
http://feed.elasticstats.com/schema/basketball/team-v2.0.xsd,583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,Nets,Brooklyn,BKN,Brooklyn Nets,1967,1610612751,Barclays Center,17732,Brooklyn,NY,New York,USA,league,4353138d-4c22-4396-95d8-5f587d2df25c,NBA,NBA,908d7735-b82a-4d9d-a722-17efce110f7a,Kenny Atkinson,Kenny,Atkinson,Head Coach,3,201690,04856926-1edc-4375-a147-246c4d66b6bb,ACT,Jared Dudley,Jared,Dudley,J.Dudley,79,237,F,SF,6,11,Boston College,"San Diego, CA, USA",California,CA,USA,USA,10/07/1985,33,2007
,,,,,,,,,,,,,,conference,3960cfac-7361-4b30-bc25-8d393de6f62f,EASTERN CONFERENCE,EASTERN,,,,,,,,0e6113a8-309b-4bea-bd89-c08310030c17,NWT,Jaylen Hands,Jaylen,Hands,J.Hands,75,180,G,PG,,0,UCLA,"San Diego, CA, USA",California,CA,USA,USA,12/02/1999,20,2019
,,,,,,,,,,,,,,division,582d6502-9a93-4a8d-8785-69374d732875,Atlantic,ATLANTIC,,,,,,,,172550b2-d010-4bcb-b325-6e3c5cfc6551,D-LEAGUE,Alan Williams,Alan,Williams,A.Williams,80,265,F,PF,15,3,California-Santa Barbara,"Phoenix, AZ, USA",Arizona,AZ,USA,USA,28/01/1993,25,2015
,,,,,,,,,,,,,,,,,,,,,,,,,1c1c0edb-84df-42a8-a74b-5899849cd41a,ACT,Shabazz Napier,Shabazz,Napier,S.Napier,73,180,G,PG,13,4,Connecticut,"Roxbury, MA, USA",Massachussetts,MA,USA,USA,14/07/1991,27,2014
,,,,,,,,,,,,,,,,,,,,,,,,,288519dc-eae8-4daf-afa4-c86322b7460e,NWT,Nicolas Claxton,Nicolas,Claxton,N.Claxton,83,220,F,PF,,0,Georgia,"Greenville, SC, USA",South Carolina,SC,USA,USA,17/04/1999,19,2019
,,,,,,,,,,,,,,,,,,,,,,,,,3f170fb8-2633-481f-bc63-0bce20b37557,ACT,Treveon Graham,Treveon,Graham,T.Graham,77,225,F,SF,21,2,Virginia Commonwealth,"Temple Hills, MD, USA",Maryland,MD,USA,USA,28/10/1993,24,2015
,,,,,,,,,,,,,,,,,,,,,,,,,4f80cdb1-1b10-4669-9774-045bc8a99c99,ACT,Taurean Prince,Taurean,Prince,T.Prince,80,220,F,SF,,2,Baylor,"San Marcos, TX, USA",Texas,TX,USA,USA,22/03/1994,24,2016
,,,,,,,,,,,,,,,,,,,,,,,,,664afb4f-3fc1-4e25-bcb8-bab2c0c3c33b,ACT,DeMarre Carroll,DeMarre,Carroll,D.Carroll,80,215,F,SF,9,9,Missouri,"Birmingham, AL, USA",Alabama,AL,USA,USA,27/07/1986,32,2009
,,,,,,,,,,,,,,,,,,,,,,,,,766d6b8b-4211-46a3-ae57-2c1c915e538b,ACT,Joe Harris,Joe,Harris,J.Harris,78,218,G-F,SG,12,4,Virginia,"Chelan, VA, USA",Virginia,VA,USA,USA,06/09/1991,27,2014
,,,,,,,,,,,,,,,,,,,,,,,,,80755300-0a97-4444-9e38-06c9f0f71d85,ACT,Rodions Kurucs,Rodions,Kurucs,R.Kurucs,81,210,F,PF,0,0,,"Cesis,, LVA",,,Latvia,LVA,05/02/1998,20,2018
,,,,,,,,,,,,,,,,,,,,,,,,,8426ab40-888d-4f89-976c-cd9e23717653,ACT,Spencer Dinwiddie,Spencer,Dinwiddie,S.Dinwiddie,78,210,G,PG,8,4,Colorado,"Woodland Hills, CA, USA",California,CA,USA,USA,06/04/1993,25,2014
,,,,,,,,,,,,,,,,,,,,,,,,,9be260cc-fa70-4fea-b789-eec17268657c,ACT,Theo Pinson,Theo,Pinson,T.Pinson,78,218,G,SG,10,0,North Carolina,"Greensboro, NC, USA",North Carolina,NC,USA,USA,05/11/1995,22,2018
,,,,,,,,,,,,,,,,,,,,,,,,,9dbc15ee-deec-4c8c-86e9-71396ff80ef8,ACT,Ed Davis,Ed,Davis,E.Davis,82,225,C,C,17,8,North Carolina,"Washington, DC, USA",District of Columbia,DC,USA,USA,05/06/1989,29,2010
,,,,,,,,,,,,,,,,,,,,,,,,,a3fff5c7-19b6-4dac-bd75-11b944bea505,ACT,Jarrett Allen,Jarrett,Allen,J.Allen,83,237,C,C,31,1,Texas,"Round Rock, TX, USA",Texas,TX,USA,USA,21/04/1998,20,2017
,,,,,,,,,,,,,,,,,,,,,,,,,ad2099c6-1ce2-474a-8d41-602eb729dbf5,ACT,Dzanan Musa,Dzanan,Musa,D.Musa,81,208,G-F,SG,30,0,,"Bihac,, BIH",,,Bosnia and Herzegovina,BIH,08/05/1999,19,2018
,,,,,,,,,,,,,,,,,,,,,,,,,b0d9c043-32b9-4c79-a692-564e93f62bd3,ACT,Rondae Hollis-Jefferson,Rondae,Hollis-Jefferson,R.Hollis-Jefferson,79,217,F,SF,24,3,Arizona,"Chester, PA, USA",Pennsylvania,PA,USA,USA,03/01/1995,23,2015
,,,,,,,,,,,,,,,,,,,,,,,,,c34996e5-8be6-4053-a2f2-0acb0155e18c,ACT,Caris LeVert,Caris,LeVert,C.LeVert,79,204,G,SG,22,2,Michigan,"Pickerington, OH, USA",Ohio,OH,USA,USA,25/08/1994,24,2016
,,,,,,,,,,,,,,,,,,,,,,,,,dbf09e15-1cd8-434e-acda-9527735ef4d6,ACT,D'Angelo Russell,D'Angelo,Russell,D.Russell,77,198,G,PG,1,3,Ohio State,"Louisville, KY, USA",Kentucky,KY,USA,USA,23/02/1996,22,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://feed.elasticstats.com/schema/basketball/team-v2.0.xsd,583ec97e-fb46-11e1-82cb-f4ce4684ea4c,Hornets,Charlotte,CHA,Charlotte Hornets,1988,1610612766,Spectrum Center,19077,Charlotte,NC,North Carolina,USA,league,4353138d-4c22-4396-95d8-5f587d2df25c,NBA,NBA,35814a1b-b043-4d56-b6cf-022f1b967510,James Borrego,James,Borrego,Head Coach,,1,2e1e9cc8-b30b-490c-bd6a-a718340a371a,NWT,Jalen McDaniels,Jalen,McDaniels,J.McDaniels,82,195,F,PF,,0,San Diego State,"Federal Way, WA, USA",Washington,WA,USA,USA,31/01/1998,20,2019
,,,,,,,,,,,,,,conference,3960cfac-7361-4b30-bc25-8d393de6f62f,EASTERN CONFERENCE,EASTERN,,,,,,,,3214b8de-d3ea-4188-9329-15a92f894f23,ACT,Malik Monk,Malik,Monk,M.Monk,75,200,G,SG,1,1,Kentucky,"Jonesboro, AR, USA",Arkansas,AR,USA,USA,04/02/1998,20,2017
